pop.id,mf,dame_mf,sire_mf,Rep,bed,row,col,status,Type,block_2025,block,Unique.ID
TM2,34_2025,34,2025,46,D,30,A,available,Parent,,G,3637
SQ3,5_2023,5,2023,9,D,30,B,available,Parent,,G,3029
(WL2 X WV) X WL2,15_2-A,15,2-A,2,D,31,A,available,BC1,,G,3231
(WL2 X CC) X WL2,1_3,1,3,39,D,31,B,available,BC1,,G,3454
WV,5_2023,5,2023,,D,32,A,available,Parent,,G,3712
TM2,8,,,61,D,32,B,2025-survivor,,F,,2633
(WL1 X WL2) X WL2,10_2-A,10,2-A,11,D,33,B,available,BC1,,G,3304
,,,,,D,34,A,buffer,,,F,buffer
,,,,,D,34,B,out-of-bounds,,,,
TM2,11_2025,11,2025,21,D,35,B,available,Parent,,F,3612
TM2,8_2025,8,2025,89,D,36,A,available,Parent,,F,3680
(TM2) x (TM2 x WL2),2-1_2,,,5,D,36,B,2025-survivor,,F,,2507
(CC X WL2) X WL2,4_3,4,3,,D,37,A,available,BC1,,F,3864
WL2,24_2025,24,2025,,D,37,B,available,Parent,,F,3859
TM2,9,,,70,D,38,A,2025-survivor,,F,,1774
TM2,6_2025,6,2025,,D,38,B,available,Parent,,F,3784
(WL2 x BH) x (WL2 x CC),1_2,,,5,D,39,A,2025-survivor,,F,,2515
WL2,2,,,15,D,39,B,2025-survivor,,F,,1838
(WL2 x TM2) x (TM2),2_1-3,,,23,D,40,A,2025-survivor,,F,,2261
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,D,40,B,available,BC1,,F,3842
(WL2 x TM2) x (WL2 x BH),1_2,,,2,D,41,A,2025-survivor,,F,,2455
WL2,1_2025,1,2025,62,D,41,B,available,Parent,,F,3145
(WL2) x (WL2 x TM2),3-14_2,,,9,D,42,A,2025-survivor,,F,,2324
DPR,19_2022,19,2022,15,D,42,B,available,Parent,,F,3564
(WL1 X WL2) x WL2,,,,,D,43,A,available,,,F,3746
WL2,24_2025,24,2025,12,D,43,B,available,Parent,,F,3095
(DPR X WL2) X WL2,5_12,5,12,9,D,44,A,available,BC1,,F,3352
(WL2 X DPR) X WL2,3_13-B,3,13-B,11,D,44,B,available,BC1,,F,3279
(WL2 x TM2) x (TM2),2_1-3,,,3,D,45,A,2025-survivor,,F,,2241
BH,,,,12,D,45,B,2024-survivor,,,,398
SQ3,2_2023,2,2023,4,D,46,A,available,Parent,,F,3024
WL2,18_2025,18,2025,,D,46,B,available,Parent,,F,3819
,,,,,D,47,A,buffer,,,E,buffer
,,,,,D,47,B,buffer,,,E,
BH,3_2025,3,2025,,D,48,A,available,Parent,,E,3698
(WL1 X WL2) X WL2,10_12,10,12,31,D,48,B,available,BC1,,E,3324
(WL2 X WL1) X WL2,12,,12,1,D,49,A,available,BC1,,E,3386
(DPR X WL2) X WL2,,,,6,D,49,B,available,BC1,,E,3349
(WL2 X CC) X WL2,1_7-16,1,16-Jul,27,D,50,B,available,BC1,,E,3442
(WL1 X WL2) x WL2,,,,,D,51,A,available,,,E,3745
(WL2 X DPR) X WL2,3_13-B,3,13-B,10,D,51,B,available,BC1,,E,3278
(WL2 X CC) X WL2,6_12,6,12,,D,52,A,available,BC1,,E,3727
TM2,30_2025,30,2025,,D,52,B,available,Parent,,E,3772
BH,11_2025,11,2025,15,D,53,A,available,Parent,,E,3522
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,D,53,B,available,BC1,,E,3844
(WL2 X CC) X WL2,1_3,1,3,,D,54,A,available,BC1,,E,3938
SQ3,2_2023,2,2023,3,D,54,B,available,Parent,,E,3023
(WV x WL2) x (WL2 x CC),3_1,,,15,D,55,A,2025-survivor,,G,,2573
WL1 x WL2,2-2_10-1,,,6,D,55,B,2025-survivor,,G,,2425
TM2,39_2025,39,2025,64,D,56,A,available,Parent,,E,3655
WL1,14_2023,14,2023,5,D,56,B,available,Parent,,E,3046
(DPR X WL2) X WL2,5_7-16,5,16-Jul,,D,57,A,available,BC1,,E,3767
(WL2 X BH) X WL2,2_3-14,2,14-Mar,,D,57,B,available,BC1,,E,3823
(WL1 X WL2) X WL2,10_2-A,10,2-A,14,D,5,C,available,BC1,,I,3307
(SQ3 x WL2) x (WL2),5_13-B,,,30,D,5,D,2025-survivor,,D,,2121
,,,,,D,6,C,out-of-bounds,,,,
,,,,,D,6,D,out-of-bounds,,,,
,,,,,D,7,D,out-of-bounds,,,,
(WL2 X TM2) X WL2,,,,1,D,10,C,available,BC1,,H,3182
,,,,,D,10,D,buffer,,,H,buffer
(WL1 X WL2) x WL2,,,,,D,11,C,available,,,H,3752
(WL2 X CC) X WL2,1_7-16,1,16-Jul,23,D,11,D,available,BC1,,H,3438
(WL1 X WL2) X WL2,10_12,10,12,30,D,12,C,available,BC1,,H,3323
((WL2 X WL1) X WL2) X WL2),2_28-2,2,28-2,6,D,12,D,available,BC2,,H,3489
(DPR X WL2) X WL2,9_7-16,9,16-Jul,37,D,13,C,available,BC1,,H,3380
(WL2 X CC) X WL2,1_3,1,3,45,D,13,D,available,BC1,,H,3460
TM2,42_2025,42,2025,73,D,14,C,available,Parent,,H,3664
(WL2 X DPR) X WL2,3_13-B,3,13-B,13,D,14,D,available,BC1,,H,3281
(WL1 X WL2) x WL2,,,,,D,15,C,available,,,H,3732
(CC X WL2) X WL2,4_3,4,3,,D,15,D,available,BC1,,H,3874
(WV x WL2) x (WL2 x BH),2_2,,,1,D,16,C,2025-survivor,,E,,2343
(WL2 x BH) x (WL2 x TM2),2_3,,,4,D,16,D,2025-survivor,,E,,2539
TM2,37_2025,37,2025,60,D,17,C,available,Parent,,H,3651
(WL2 X WV) X WL2,15_2-A,15,2-A,,D,17,D,available,BC1,,H,3889
(WL2 X DPR) X WL2,4_13-B,4,13-B,22,D,18,C,available,BC1,,H,3290
(WL2 X CC) X WL2,1_3,1,3,,D,18,D,available,BC1,,H,3936
WL2,27_2025,27,2025,,D,19,C,available,Parent,,H,3799
TM2,8_2025,8,2025,,D,19,D,available,Parent,,H,3787
(WL2 X WL1) X WL2,12,,12,7,D,20,C,available,BC1,,H,3392
(CC X WL2) X WL2,4_3,4,3,3,D,20,D,available,BC1,,H,3215
,,,,,D,21,C,buffer,,,G,buffer
DPR x WL2,,,,4,D,21,D,2025-survivor,,E,,1977
(WL2 X CC) X WL2,1_3,1,3,46,D,22,C,available,BC1,,G,3461
,,,,,D,22,D,buffer,,,G,buffer
(WL2 X CC) X WL2,1_7-16,1,16-Jul,22,D,23,C,available,BC1,,G,3437
WL2,20_2025,20,2025,,D,23,D,available,Parent,,G,3807
(WL1 X WL2) x WL2,,,,,D,24,C,available,,,G,3748
(WL2) x (WL2 x TM2),3-14_2,,,6,D,24,D,2025-survivor,,E,,2461
WL2 x YO11,2-A_11-2,,,1,D,25,C,2025-survivor,,E,,2047
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,D,25,D,available,BC1,,G,3846
((WL2 X WL1) X WL2) X WL2),2_28-2,2,28-2,16,D,26,C,available,BC2,,G,3499
BH,3,,,1,D,26,D,2025-survivor,,E,,1600
(TM2 X WL2) X WL2,2_2-16,2,16-Feb,,D,27,C,available,BC1,,G,3901
DPR,14_2025,14,2025,19,D,27,D,available,Parent,,G,3568
YO11,10_2024,10,2024,17,D,28,C,available,Parent,,G,3079
TM2,28_2025,28,2025,23,D,28,D,available,Parent,,G,3614
WL1,12_2023,12,2023,9,D,29,C,available,Parent,,G,3050
(CC X WL2) X WL2,4_2A,4,2A,1,D,29,D,available,BC1,,G,3213
(DPR X WL2) X WL2,16-Jul,,16-Jul,,D,30,C,available,BC1,,G,3825
WL2,4_2025,4,2025,68,D,30,D,available,Parent,,G,3151
(WL1 X WL2) X WL2,10_2-12,10,12-Feb,49,D,31,C,available,BC1,,G,3342
(WL2 X DPR) X WL2,4_13-B,4,13-B,,D,31,D,available,BC1,,G,3922
(WL2 X DPR) X WL2,3_13-B,3,13-B,,D,32,C,available,BC1,,G,3912
TM2,44_2025,44,2025,79,D,33,C,available,Parent,,G,3670
(WV X WL2) X WL2,2_13-B,2,13-B,,D,33,D,available,BC1,,G,3861
BH,3_2025,3,2025,20,D,34,C,available,Parent,,G,3527
,,,,,D,34,D,buffer,,,F,buffer
TM2,35_2025,35,2025,49,D,35,C,available,Parent,,F,3640
