parent.pop,elevation.group,elev_m,Lat,Long,timeframe,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month,Season
CC,low,313,39.58597,-121.43311,historic,1977,73.83083333333333,0,28.418333333333333,8.971666666666668,23.569166666666668,16.27041666666667,14.5975,6.70008529739915,33.449999999999996,341.02,84.75756613693413,6.335,24.450000000000003,1.92,63.85,Water Year
CC,low,313,39.58597,-121.43311,historic,1978,55.615833333333335,0,107.71000000000001,10.049166666666666,23.0425,16.545833333333334,12.993333333333332,6.111997454088793,29.03,1292.52,109.55129139397832,9.39,22.509999999999998,4.98,373.14,Water Year
CC,low,313,39.58597,-121.43311,historic,1979,55.51416666666667,0,79.2525,8.468333333333334,22.41,15.439166666666667,13.941666666666666,7.077351467030501,33.129999999999995,951.03,98.32617323313582,8.255,22.424999999999997,2.83,48.3,Water Year
CC,low,313,39.58597,-121.43311,historic,1980,59.115833333333335,0,86.18583333333333,9.2125,22.7825,15.9975,13.57,5.912411636856518,30.65,1034.2299999999998,114.8410274411524,10.95,23.905,8.55,262.19,Water Year
CC,low,313,39.58597,-121.43311,historic,1981,63.14083333333333,0,71.62916666666666,9.598333333333334,23.754166666666666,16.67625,14.155833333333334,6.473274120637028,31.03,859.5499999999998,105.52175965281458,8.805,25.345,0,215.89,Water Year
CC,low,313,39.58597,-121.43311,historic,1982,51.15833333333333,0,130.63416666666666,9.3175,21.829166666666666,15.573333333333334,12.511666666666667,6.387685002954489,31.74,1567.61,88.71764751691339,12.629999999999999,19.645,1.08,192.72,Water Year
CC,low,313,39.58597,-121.43311,historic,1983,52.865,0,130.27583333333334,8.934166666666666,21.873333333333335,15.40375,12.939166666666667,6.520455270287358,30.35,1563.31,99.9640783173582,10.52,22.86,2.51,170.2,Water Year
CC,low,313,39.58597,-121.43311,historic,1984,60.06166666666667,0,95.05916666666667,9.214166666666667,23.075,16.144583333333333,13.860833333333334,6.892836353231103,33.580000000000005,1140.7100000000003,137.90814729402948,8.475,27.130000000000003,0,16.19,Water Year
CC,low,313,39.58597,-121.43311,historic,1985,62.78083333333333,0,57.045833333333334,8.3775,22.300833333333333,15.339166666666667,13.923333333333334,7.003163516756142,34.08,684.5499999999998,128.00113926410148,9.620000000000001,17.1,0.77,31.26,Water Year
CC,low,313,39.58597,-121.43311,historic,1986,60.89833333333333,0,108.52666666666666,9.085833333333333,22.605,15.845416666666667,13.519166666666667,6.073491753788207,32.2,1302.3200000000002,117.37066890211527,11.004999999999999,25.435000000000002,0,83.02,Water Year
CC,low,313,39.58597,-121.43311,historic,1987,62.62583333333333,0,51.23583333333333,8.960833333333333,23.949166666666667,16.455,14.988333333333333,6.512743801055114,32.68,614.83,130.57586233592258,10.965,23.28333333333333,0,132.88,Water Year
CC,low,313,39.58597,-121.43311,historic,1988,56.10666666666667,0,63.23833333333334,9.051666666666666,23.77916666666667,16.415416666666665,14.727500000000001,6.521863041944289,33.050000000000004,758.8599999999999,135.46669591869673,7.53,24.78166666666667,0,279.75,Water Year
CC,low,313,39.58597,-121.43311,historic,1989,60.9825,0,93.14333333333333,8.6625,22.448333333333334,15.555416666666668,13.785833333333334,6.482300538015151,33.07,1117.72,117.15685542319123,11.36,25.28,0,65.84,Water Year
